delta,u,source,main_fiber,A,B,C,D,defect_B,defect_C,defect_D,score,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,point_in_unit,four_distance_ok,true_solution,height,distance_to_u730,notes
332/77,1/4,known,all,8/15,136/77,1501/616,1501/2040,977,2632457,6414601,16497779594649889,1155/2656,77/332,2656,1155,616,1501,2040,1,0,False,True,False,False,2040,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/130,-5/9,B_sample,all,-45/28,-153/104,2969/1170,2969/1071,1,10183861,9962002,101451643649722,-728/2241,130/249,2241,-728,1170,2969,1071,-3,-1,True,False,False,False,2969,52/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,9/5,B_sample,all,-45/28,-153/104,2969/1170,2969/1071,1,10183861,9962002,101451643649722,-728/2241,130/249,2241,-728,1170,2969,1071,-3,-1,True,False,False,False,2969,6/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,-9/17,B_sample,all,-153/104,-45/28,2969/1071,2969/1170,1,9962002,10183861,101451643649722,-728/2241,119/249,2241,-728,1071,2969,1170,-3,-1,True,False,False,False,2969,96/85,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,17/9,B_sample,all,-153/104,-45/28,2969/1071,2969/1170,1,9962002,10183861,101451643649722,-728/2241,119/249,2241,-728,1071,2969,1170,-3,-1,True,False,False,False,2969,58/45,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,3/5,known,all,15/8,975/476,2783/1785,2783/1950,1177201,10931314,11547589,148598460466972133146,952/3735,119/249,3735,952,1785,2783,1950,-2,-1,True,True,False,False,2783,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/130,4/25,B_sample,all,200/609,340/1131,-2937/2600,-2937/2380,1,15385969,14290369,219871174432561,2639/1660,130/249,4980,7917,2600,-2937,2380,0,-1,True,False,False,False,2937,11/25,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,-25/4,B_sample,all,200/609,340/1131,-2937/2600,-2937/2380,1,15385969,14290369,219871174432561,2639/1660,130/249,4980,7917,2600,-2937,2380,0,-1,True,False,False,False,2937,137/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,1/4,known,all,8/15,21056/7395,17605/3944,2515/3008,498041161,325491161,15373289,2492133067409371666452169,1479/5000,493/3125,25000,7395,3944,17605,21056,1,1,False,True,False,False,21056,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
3125/2632,13/16,B_sample,all,416/87,884/987,133877/136864,133877/25636,1,58647689,29728409,1743502485496801,28623/162500,2632/3125,162500,28623,136864,133877,25636,1,1,False,True,False,False,136864,17/80,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/2632,-16/13,B_sample,all,416/87,884/987,133877/136864,133877/25636,1,58647689,29728409,1743502485496801,28623/162500,2632/3125,162500,28623,136864,133877,25636,1,1,False,True,False,False,136864,119/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/77,3/5,known,all,15/8,3825/616,4364/1155,4364/3825,15010081,20378521,33675121,10300655484927373969321,154/1245,77/332,4980,616,1155,4364,3825,-1,0,True,True,False,False,4364,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
4225/3196,3/5,known,all,15/8,15435/25568,37807/47940,5401/2205,891961849,3727612849,34032826,113155350059338529627015626,25568/63375,3196/4225,63375,25568,47940,37807,15435,-1,0,True,True,False,False,47940,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
3125/2632,16/13,B_sample,all,-416/87,-884/987,191123/136864,191123/25636,1,88415609,59496329,5260404161799361,-28623/162500,2632/3125,162500,-28623,136864,191123,25636,1,1,False,False,False,False,191123,41/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/2632,-13/16,B_sample,all,-416/87,-884/987,191123/136864,191123/25636,1,88415609,59496329,5260404161799361,-28623/162500,2632/3125,162500,-28623,136864,191123,25636,1,1,False,False,False,False,191123,113/80,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,3/5,known,all,15/8,4935/493,42931/7395,6133/5640,145546,1897756786,69423289,19175469772619606608084,3944/46875,493/3125,46875,3944,7395,42931,39480,-1,1,True,True,False,False,42931,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
12675/11891,1/4,known,all,8/15,6272/178365,-76965/95128,-10995/896,31853411209,14972947609,121692841,58040117531701238628887197321,11891/6760,11891/12675,101400,178365,95128,-76965,6272,0,-1,True,False,False,False,178365,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
3125/493,8/29,B_sample,all,464/777,6016/1887,36791/7888,36791/42112,1,56631929,125079929,7083517658453041,13209/50000,493/3125,50000,13209,7888,36791,42112,1,1,False,True,False,False,42112,47/145,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,-29/8,B_sample,all,464/777,6016/1887,36791/7888,36791/42112,1,56631929,125079929,7083517658453041,13209/50000,493/3125,50000,13209,7888,36791,42112,1,1,False,True,False,False,42112,169/40,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/2632,11/23,B_sample,all,253/204,7337/31584,253697/665896,253697/124729,1,812447441,127871186,103888617843335026,536928/790625,2632/3125,790625,536928,665896,253697,124729,1,1,False,True,False,False,665896,14/115,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/2632,-23/11,B_sample,all,253/204,7337/31584,253697/665896,253697/124729,1,812447441,127871186,103888617843335026,536928/790625,2632/3125,790625,536928,665896,253697,124729,1,1,False,True,False,False,665896,148/55,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/451,-5/14,C_sample,all,-140/171,-58240/77121,198501/63140,198501/58240,32316769,1,148078009,4785402810832921,-25707/40460,451/867,121380,-77121,63140,198501,58240,1,-1,True,False,False,False,198501,67/70,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
867/451,14/5,C_sample,all,-140/171,-58240/77121,198501/63140,198501/58240,32316769,1,148078009,4785402810832921,-25707/40460,451/867,121380,-77121,63140,198501,58240,1,-1,True,False,False,False,198501,11/5,near_miss:x^2+(1-y)^2;(1-x)^2+(1-y)^2
9375/7072,3/5,known,all,15/8,34545/56576,84049/106080,12007/4935,4394200801,18317200801,168522274,13564266567960809636663120674,56576/140625,7072/9375,140625,56576,106080,84049,34545,-2,-1,True,True,False,False,106080,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
12675/784,6/17,B_sample,all,204/253,2397/196,596837/39984,596837/606441,1,84689497,171357418,14512173537638746,49588/646425,784/12675,646425,49588,39984,596837,606441,-2,-1,True,True,False,False,606441,21/85,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
12675/784,-17/6,B_sample,all,204/253,2397/196,596837/39984,596837/606441,1,84689497,171357418,14512173537638746,49588/646425,784/12675,646425,49588,39984,596837,606441,-2,-1,True,True,False,False,606441,103/30,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,-4/25,B_sample,all,-200/609,-340/1131,12897/2600,12897/2380,1,173092609,171997009,29771411028006481,-2639/1660,130/249,4980,-7917,2600,12897,2380,0,-1,True,False,False,False,12897,19/25,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/130,25/4,B_sample,all,-200/609,-340/1131,12897/2600,12897/2380,1,173092609,171997009,29771411028006481,-2639/1660,130/249,4980,-7917,2600,12897,2380,0,-1,True,False,False,False,12897,113/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
12675/11891,3/5,known,all,15/8,1470/11891,94997/178365,13571/1680,143556781,40838503234,186994441,1096281849741163200047697514,95128/190125,11891/12675,190125,95128,178365,94997,11760,-2,-1,True,True,False,False,178365,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
12675/784,-6/17,B_sample,all,-204/253,-2397/196,696013/39984,696013/606441,1,115037353,201705274,23203640807099722,-49588/646425,784/12675,646425,-49588,39984,696013,606441,-2,-1,True,False,False,False,696013,81/85,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
12675/784,17/6,B_sample,all,-204/253,-2397/196,696013/39984,696013/606441,1,115037353,201705274,23203640807099722,-49588/646425,784/12675,646425,-49588,39984,696013,606441,-2,-1,True,False,False,False,696013,67/30,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,-8/29,B_sample,all,-464/777,-6016/1887,63209/7888,63209/42112,1,162303929,230751929,37451944701029041,-13209/50000,493/3125,50000,-13209,7888,63209,42112,1,1,False,False,False,False,63209,127/145,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,29/8,B_sample,all,-464/777,-6016/1887,63209/7888,63209/42112,1,162303929,230751929,37451944701029041,-13209/50000,493/3125,50000,-13209,7888,63209,42112,1,1,False,False,False,False,63209,121/40,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
12675/784,1/4,known,all,8/15,11891/1470,11205/784,11205/11891,143556781,126166681,266947906,4834982521717658747725066,98/845,784/12675,12675,1470,784,11205,11891,0,-1,True,True,False,False,11891,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/119,21/29,B_sample,all,609/200,1131/340,2609/1479,18263/11310,1,8994322,461453269,4150459289338618,3400/21663,119/249,21663,3400,10353,18263,11310,-2,-1,True,True,False,False,18263,18/145,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,-29/21,B_sample,all,609/200,1131/340,2609/1479,18263/11310,1,8994322,461453269,4150459289338618,3400/21663,119/249,21663,3400,10353,18263,11310,-2,-1,True,True,False,False,18263,208/105,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/255,13/20,B_sample,all,520/231,104/153,22747/26520,22747/8008,1,1220736409,581554073,709924230713343857,11781/34528,255/332,34528,11781,26520,22747,8008,2,0,False,True,False,False,26520,1/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/255,-20/13,B_sample,all,520/231,104/153,22747/26520,22747/8008,1,1220736409,581554073,709924230713343857,11781/34528,255/332,34528,11781,26520,22747,8008,2,0,False,True,False,False,26520,139/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/1029,3/5,known,all,15/8,3995/686,6127/1715,18381/15980,16430621,40481354,593221561,394571702295084150321874,2744/21125,1029/4225,21125,2744,5145,18381,15980,0,0,False,True,False,False,18381,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
3125/2632,3/5,known,all,15/8,7395/21056,25819/39480,25819/7395,498041161,2225291161,721306786,799414640643210551842471906,21056/46875,2632/3125,46875,21056,39480,25819,7395,-1,1,True,True,False,False,39480,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/119,29/21,B_sample,all,-609/200,-1131/340,25063/10353,25063/11310,1,735338578,756070069,555967489406821882,-3400/21663,119/249,21663,-3400,10353,25063,11310,-2,-1,True,False,False,False,25063,82/105,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,-21/29,B_sample,all,-609/200,-1131/340,25063/10353,25063/11310,1,735338578,756070069,555967489406821882,-3400/21663,119/249,21663,-3400,10353,25063,11310,-2,-1,True,False,False,False,25063,192/145,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/1029,1/4,known,all,8/15,25568/15435,18365/8232,18365/25568,891961849,405039049,990995849,358026364980969935075114249,3087/6760,1029/4225,33800,15435,8232,18365,25568,2,0,False,True,False,False,25568,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
332/77,4/13,B_sample,all,104/153,520/231,22747/8008,22747/26520,1,581554073,1220736409,709924230713343857,11781/34528,77/332,34528,11781,8008,22747,26520,2,0,False,True,False,False,26520,19/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/77,-13/4,B_sample,all,104/153,520/231,22747/8008,22747/26520,1,581554073,1220736409,709924230713343857,11781/34528,77/332,34528,11781,8008,22747,26520,2,0,False,True,False,False,26520,77/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/255,20/13,B_sample,all,-520/231,-104/153,46309/26520,46309/8008,1,2847833881,2208651545,6289872701173996145,-11781/34528,255/332,34528,-11781,26520,46309,8008,2,0,False,False,False,False,46309,61/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/255,-13/20,B_sample,all,-520/231,-104/153,46309/26520,46309/8008,1,2847833881,2208651545,6289872701173996145,-11781/34528,255/332,34528,-11781,26520,46309,8008,2,0,False,False,False,False,46309,5/4,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/2632,-11/23,B_sample,all,-253/204,-7337/31584,1327553/665896,1327553/124729,1,3529303121,2844726866,10039903406566348786,-536928/790625,2632/3125,790625,-536928,665896,1327553,124729,1,1,False,False,False,False,1327553,124/115,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/2632,23/11,B_sample,all,-253/204,-7337/31584,1327553/665896,1327553/124729,1,3529303121,2844726866,10039903406566348786,-536928/790625,2632/3125,790625,-536928,665896,1327553,124729,1,1,False,False,False,False,1327553,82/55,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/77,-4/13,B_sample,all,-104/153,-520/231,46309/8008,46309/26520,1,2208651545,2847833881,6289872701173996145,-11781/34528,77/332,34528,-11781,8008,46309,26520,2,0,False,False,False,False,46309,59/65,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
332/77,13/4,B_sample,all,-104/153,-520/231,46309/8008,46309/26520,1,2208651545,2847833881,6289872701173996145,-11781/34528,77/332,34528,-11781,8008,46309,26520,2,0,False,False,False,False,46309,53/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
9375/2303,1/4,known,all,8/15,56576/34545,40455/18424,40455/56576,4394200801,1175521,4837450801,24987732723275094375099121,2303/5000,2303/9375,75000,34545,18424,40455,56576,0,-1,True,True,False,False,56576,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/119,11/24,B_sample,all,528/455,1056/833,77327/62832,77327/68640,1,9927325153,10690914529,106132184712314847937,54145/131472,119/249,131472,54145,62832,77327,68640,-2,-1,True,True,False,False,77327,17/120,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,-24/11,B_sample,all,528/455,1056/833,77327/62832,77327/68640,1,9927325153,10690914529,106132184712314847937,54145/131472,119/249,131472,54145,62832,77327,68640,-2,-1,True,True,False,False,77327,153/55,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
9375/2303,3/5,known,all,15/8,13260/2303,122201/34545,122201/106080,181131409,16126441426,26186050801,76489586829531420584512436434,18424/140625,2303/9375,140625,18424,34545,122201,106080,-2,-1,True,True,False,False,122201,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
249/119,-11/24,B_sample,all,-528/455,-1056/833,185617/62832,185617/68640,1,38401530913,39165120289,1504000577489396993857,-54145/131472,119/249,131472,-54145,62832,185617,68640,-2,-1,True,False,False,False,185617,127/120,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
249/119,24/11,B_sample,all,-528/455,-1056/833,185617/62832,185617/68640,1,38401530913,39165120289,1504000577489396993857,-54145/131472,119/249,131472,-54145,62832,185617,68640,-2,-1,True,False,False,False,185617,87/55,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
12675/784,3/5,known,all,15/8,178365/6272,183853/11760,183853/178365,31853411209,33940223209,65615998834,70938236277545844075693203071954,6272/190125,784/12675,190125,6272,11760,183853,178365,-2,-1,True,True,False,False,183853,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
