delta,u,source,main_fiber,A,B,C,D,defect_B,defect_C,defect_D,score,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,point_in_unit,four_distance_ok,true_solution,height,distance_to_u730,notes
65/16,-5/2,B_sample,all,20/21,35/12,241/80,241/245,1,64481,118106,7615592986,84/325,16/65,325,84,80,241,245,1,1,False,True,False,False,245,31/10,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/11,1/6,B_sample,all,12/35,48/55,83/132,83/336,1,24313,119785,2912332705,385/468,11/39,468,385,132,83,336,-2,-1,True,True,False,False,336,13/30,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/11,-6,B_sample,all,12/35,48/55,83/132,83/336,1,24313,119785,2912332705,385/468,11/39,468,385,132,83,336,-2,-1,True,True,False,False,336,33/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/16,-1/6,B_sample,all,-12/35,-21/20,335/48,335/147,1,114529,133834,15327874186,-28/39,16/65,195,-140,48,335,147,-1,1,True,False,False,False,335,23/30,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/16,6,B_sample,all,-12/35,-21/20,335/48,335/147,1,114529,133834,15327874186,-28/39,16/65,195,-140,48,335,147,-1,1,True,False,False,False,335,27/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/28,3/5,known,all,15/8,165/224,361/420,361/165,77401,306721,157546,3740222722615066,224/585,28/39,585,224,420,361,165,-2,-1,True,True,False,False,420,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
65/49,7/5,B_sample,all,-35/12,-20/21,409/245,409/80,1,227306,173681,39478733386,-84/325,49/65,325,-84,245,409,80,1,1,False,False,False,False,409,4/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/49,-5/7,B_sample,all,-35/12,-20/21,409/245,409/80,1,227306,173681,39478733386,-84/325,49/65,325,-84,245,409,80,1,1,False,False,False,False,409,46/35,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/16,-2/5,B_sample,all,-20/21,-35/12,409/80,409/245,1,173681,227306,39478733386,-84/325,16/65,325,-84,80,409,245,1,1,False,False,False,False,409,1,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
65/16,5/2,B_sample,all,-20/21,-35/12,409/80,409/245,1,173681,227306,39478733386,-84/325,16/65,325,-84,80,409,245,1,1,False,False,False,False,409,19/10,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/3196,1/8,B_sample,all,16/63,196/2397,-33437/12784,-33437/4116,1,303305,268633,81477732065,50337/16900,3196/4225,16900,50337,12784,-33437,4116,2,0,False,False,False,False,33437,19/40,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/3196,-8,B_sample,all,16/63,196/2397,-33437/12784,-33437/4116,1,303305,268633,81477732065,50337/16900,3196/4225,16900,50337,12784,-33437,4116,2,0,False,False,False,False,33437,43/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
4225/3196,1/4,known,all,8/15,686/3995,-3535/6392,-505/294,16430621,53353889,341461,299337527301843695809,2397/1690,3196/4225,8450,11985,6392,-3535,2058,1,0,False,False,False,False,6392,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
65/49,3/5,known,all,15/8,30/49,583/735,583/240,3301,880114,397489,1154807426995546,392/975,49/65,975,392,735,583,240,-1,1,True,True,False,False,735,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
9375/7072,1/4,known,all,8/15,2303/13260,-3885/7072,-555/329,181131409,65106409,416266,4908948177342545570746,884/625,7072/9375,9375,13260,7072,-3885,2303,0,-1,True,False,False,False,13260,7/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
867/451,3/5,known,all,15/8,780/451,9397/6765,9397/6240,1,463906,440281,204248997586,3608/13005,451/867,13005,3608,6765,9397,6240,-2,-1,True,True,False,False,9397,0,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/451,-5/3,B_sample,all,15/8,780/451,9397/6765,9397/6240,1,463906,440281,204248997586,3608/13005,451/867,13005,3608,6765,9397,6240,-2,-1,True,True,False,False,9397,34/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/416,15/26,B_sample,all,780/451,15/8,9397/6240,9397/6765,1,440281,463906,204248997586,3608/13005,416/867,13005,3608,6240,9397,6765,-2,-1,True,True,False,False,9397,3/130,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/416,-26/15,B_sample,all,780/451,15/8,9397/6240,9397/6765,1,440281,463906,204248997586,3608/13005,416/867,13005,3608,6240,9397,6765,-2,-1,True,True,False,False,9397,7/3,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/416,3/5,known,all,15/8,6765/3328,9677/6240,9677/6765,196681,458761,482386,43525482435047026,3328/13005,416/867,13005,3328,6240,9677,6765,-2,-1,True,True,False,False,9677,0,near_miss:(1-x)^2+y^2;x^2+(1-y)^2;(1-x)^2+(1-y)^2
3125/493,-3/29,B_sample,all,-87/416,-987/884,16447/1479,16447/7896,1,436306,532561,232359559666,-7072/9375,493/3125,9375,-7072,1479,16447,7896,-1,1,True,False,False,False,16447,102/145,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
3125/493,29/3,B_sample,all,-87/416,-987/884,16447/1479,16447/7896,1,436306,532561,232359559666,-7072/9375,493/3125,9375,-7072,1479,16447,7896,-1,1,True,False,False,False,16447,136/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
9375/2303,-1/7,B_sample,all,-7/24,-884/987,17271/2303,17271/7072,1,485746,557281,270697016626,-2632/3125,2303/9375,9375,-7896,2303,17271,7072,0,-1,True,False,False,False,17271,26/35,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
9375/2303,7,B_sample,all,-7/24,-884/987,17271/2303,17271/7072,1,485746,557281,270697016626,-2632/3125,2303/9375,9375,-7896,2303,17271,7072,0,-1,True,False,False,False,17271,32/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/28,-3/8,B_sample,all,-48/55,-12/35,853/336,853/132,1,840505,745033,626203961665,-385/468,28/39,468,-385,336,853,132,-2,-1,True,False,False,False,853,39/40,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/28,8/3,B_sample,all,-48/55,-12/35,853/336,853/132,1,840505,745033,626203961665,-385/468,28/39,468,-385,336,853,132,-2,-1,True,False,False,False,853,31/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/11,-1/6,B_sample,all,-12/35,-48/55,853/132,853/336,1,745033,840505,626203961665,-385/468,11/39,468,-385,132,853,336,-2,-1,True,False,False,False,853,23/30,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
39/11,6,B_sample,all,-12/35,-48/55,853/132,853/336,1,745033,840505,626203961665,-385/468,11/39,468,-385,132,853,336,-2,-1,True,False,False,False,853,27/5,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
9375/7072,3/4,B_sample,all,24/7,987/884,21937/21216,21937/6909,1,1490161,846346,1261191801706,6188/28125,7072/9375,28125,6188,21216,21937,6909,-2,-1,True,True,False,False,21937,3/20,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
9375/7072,-4/3,B_sample,all,24/7,987/884,21937/21216,21937/6909,1,1490161,846346,1261191801706,6188/28125,7072/9375,28125,6188,21216,21937,6909,-2,-1,True,True,False,False,21937,29/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
867/451,5/3,B_sample,all,-15/8,-780/451,16613/6765,16613/6240,1,1113346,1089721,1213236516466,-3608/13005,451/867,13005,-3608,6765,16613,6240,-2,-1,True,False,False,False,16613,16/15,near_miss:(1-x)^2+y^2;(1-x)^2+(1-y)^2
