A,D,B,C,reciprocal_fake,degenerate_infinity,nondegenerate,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,notes
-380/261,-261/380,380/261,261/380,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-231/160,-160/231,231/160,160/231,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-552/385,-385/552,552/385,385/552,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-325/228,-228/325,325/228,228/325,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-756/533,-533/756,756/533,533/756,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-435/308,-308/435,435/308,308/435,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-992/705,-705/992,992/705,705/992,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-561/400,-400/561,561/400,400/561,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-703/504,-504/703,703/504,504/703,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-861/620,-620/861,861/620,620/861,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-4/3,-3/4,4/3,3/4,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-903/704,-704/903,903/704,704/903,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-741/580,-580/741,741/580,580/741,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-595/468,-468/595,595/468,468/595,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-465/368,-368/465,465/368,368/465,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-812/645,-645/812,812/645,645/812,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-351/280,-280/351,351/280,280/351,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-600/481,-481/600,600/481,481/600,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-253/204,-204/253,253/204,204/253,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-420/341,-341/420,420/341,341/420,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-171/140,-140/171,171/140,140/171,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-272/225,-225/272,272/225,225/272,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-960/799,-799/960,960/799,799/960,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-105/88,-88/105,105/88,88/105,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-728/615,-615/728,728/615,615/728,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-779/660,-660/779,779/660,660/779,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-156/133,-133/156,156/133,133/156,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-629/540,-540/629,629/540,540/629,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-528/455,-455/528,528/455,455/528,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-55/48,-48/55,55/48,48/55,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-868/765,-765/868,868/765,765/868,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-360/319,-319/360,360/319,319/360,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-377/336,-336/377,377/336,336/377,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-987/884,-884/987,987/884,884/987,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-72/65,-65/72,72/65,65/72,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-817/744,-744/817,817/744,744/817,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-275/252,-252/275,275/252,252/275,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-224/207,-207/224,224/207,207/224,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-663/616,-616/663,663/616,616/663,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-460/429,-429/460,460/429,429/460,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-780/731,-731/780,780/731,731/780,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-21/20,-20/21,21/20,20/21,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-924/893,-893/924,924/893,893/924,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-572/555,-555/572,572/555,555/572,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-855/832,-832/855,855/832,832/855,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-304/297,-297/304,304/297,297/304,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-403/396,-396/403,403/396,396/403,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-120/119,-119/120,120/119,119/120,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-697/696,-696/697,697/696,696/697,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-696/697,-697/696,696/697,697/696,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-119/120,-120/119,119/120,120/119,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-396/403,-403/396,396/403,403/396,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-297/304,-304/297,297/304,304/297,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-832/855,-855/832,832/855,855/832,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-555/572,-572/555,555/572,572/555,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-893/924,-924/893,893/924,924/893,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-20/21,-21/20,20/21,21/20,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-731/780,-780/731,731/780,780/731,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-429/460,-460/429,429/460,460/429,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
