category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
one_sided,352/135,-5/12,-868/765,1085/5984,1,218849,218849,True,False,True,False,459/676,1496/845,3380,2295,5984,1085,-2604,3,0,False,True,False,False,5984,1949/348,791/1080,algebraic_but_failed:(1-x)^2+y^2
one_sided,448/975,105/88,-2728/975,-465/64,1,220321,220321,True,False,True,False,-65/152,-56/285,2280,-975,-448,3255,2728,0,-1,True,True,False,False,2728,30553/7656,11041/7800,algebraic_but_failed:(1-x)^2+y^2
one_sided,105/88,448/975,-975/2728,-64/465,1,220321,220321,True,False,True,False,341/285,217/152,2280,2728,3255,-448,-975,-1,1,True,True,False,False,2728,133583/28275,15/22,algebraic_but_failed:(1-x)^2+y^2
one_sided,-400/561,9/40,1240/561,-279/400,1,237841,237841,True,False,True,False,187/280,-10/21,840,561,-400,279,1240,0,-1,True,True,False,False,1240,17257/3480,11615/4488,algebraic_but_failed:(1-x)^2+y^2
one_sided,9/40,-400/561,561/1240,-400/279,1,237841,237841,True,False,True,False,31/21,93/280,840,1240,279,-400,561,-1,0,True,True,False,False,1240,31979/5423,33/20,algebraic_but_failed:(1-x)^2+y^2
one_sided,24/143,989/660,-1020/611,-16813/1128,1,337633,337633,True,False,True,False,-6721/10092,-94/841,10092,-6721,-1128,16813,11220,-1,1,True,True,False,False,16813,23513/6380,1953/1144,algebraic_but_failed:(1-x)^2+y^2
one_sided,989/660,24/143,-611/1020,-1128/16813,1,337633,337633,True,False,True,False,935/841,16813/10092,10092,11220,16813,-1128,-6721,0,-1,True,True,False,False,16813,62405/12441,497/1320,algebraic_but_failed:(1-x)^2+y^2
one_sided,451/780,63/16,-28/195,-441/451,1,397882,397882,True,False,True,False,260/113,451/339,339,780,451,-441,-112,0,-1,True,True,False,False,780,1735/1392,2023/1560,algebraic_but_failed:(1-x)^2+y^2
one_sided,63/16,451/780,-195/28,-451/441,1,397882,397882,True,False,True,False,-112/339,-147/113,339,-112,-441,451,780,-1,0,True,True,False,False,780,34727/7540,33/16,algebraic_but_failed:(1-x)^2+y^2
one_sided,135/352,91/60,-105/88,-637/135,1,423994,423994,True,False,True,False,-352/285,-9/19,285,-352,-135,637,420,-1,0,True,True,False,False,637,2127/580,525/352,algebraic_but_failed:(1-x)^2+y^2
one_sided,91/60,135/352,-88/105,-135/637,1,423994,423994,True,False,True,False,28/19,637/285,285,420,637,-135,-352,0,-1,True,True,False,False,637,147007/30624,43/120,algebraic_but_failed:(1-x)^2+y^2
one_sided,-615/728,-16/63,153/104,272/615,1,452209,452209,True,False,True,False,91/57,-205/152,456,728,-615,-272,1071,-1,0,True,True,False,False,728,9935/1827,495/182,algebraic_but_failed:(1-x)^2+y^2
one_sided,-16/63,-615/728,104/153,615/272,1,452209,452209,True,False,True,False,357/152,-34/57,456,1071,-272,-615,728,1,-1,True,True,False,False,728,381833/63336,1073/504,algebraic_but_failed:(1-x)^2+y^2
