row_id,N,p,q,r,s,h_pq,h_rq,h_ps,h_rs_square,h_rs_or_sqrt_factor,fourth_norm,defect,primitive,canonical_key,duplicate_of,x,y,yc,v3_x,v3_yc,mcc_live,A,B,C,D,delta,A_in_S,B_in_S,C_in_S,D_in_S,love_relation_ok,notes
73,12675,4884,8288,7791,4387,9620,11375,6565,False,65*sqrt(18922),65*sqrt(18922)/12675,18922,True,12675:4387:4884,51,1628/4225,8288/12675,3901/25350,0,-1,True,56/33,4387/4884,1113/1184,7791/4387,12675/8288,True,True,True,False,True,THREE_DISTANCE_SEED
74,20988,8008,8619,12980,12369,11765,15581,14735,False,1*sqrt(321472561),1*sqrt(321472561)/20988,321472561,True,20988:8008:8619,71,182/477,2873/6996,-625/6996,-2,-1,True,663/616,1767/1144,12980/8619,12980/12369,6996/2873,True,True,True,False,True,THREE_DISTANCE_SEED
75,20280,4795,8772,15485,11508,9997,17797,12467,False,13*sqrt(2202481),13*sqrt(2202481)/20280,2202481,True,20280:4795:8772,50,959/4056,731/1690,-57/845,-1,1,True,8772/4795,12/5,15485/8772,15485/11508,1690/731,True,True,True,False,True,THREE_DISTANCE_SEED
76,26588,16605,8856,9983,17732,18819,13345,24293,False,17*sqrt(1432817),17*sqrt(1432817)/26588,1432817,True,26588:8856:9983,,16605/26588,2214/6647,-2219/13294,4,0,False,8/15,17732/16605,9983/8856,9983/17732,6647/2214,True,True,True,False,True,THREE_DISTANCE_SEED
77,28168,24288,9009,3880,19159,25905,9809,30935,False,1*sqrt(382121681),1*sqrt(382121681)/28168,382121681,True,28168:3880:9009,,3036/3521,1287/4024,-725/4024,1,0,False,273/736,833/1056,3880/9009,3880/19159,4024/1287,True,True,True,False,True,THREE_DISTANCE_SEED
78,12675,784,9588,11891,3087,9620,15275,3185,False,65*sqrt(35722),65*sqrt(35722)/12675,35722,True,12675:784:3087,18,784/12675,3196/4225,2167/8450,-1,0,True,2397/196,63/16,253/204,11891/3087,4225/3196,True,True,True,False,True,THREE_DISTANCE_SEED
79,11484,3640,9867,7844,1617,10517,12605,3983,False,5*sqrt(2565721),5*sqrt(2565721)/11484,2565721,True,11484:1617:3640,44,910/2871,299/348,125/348,-2,-1,True,759/280,231/520,7844/9867,7844/1617,348/299,True,True,True,False,True,THREE_DISTANCE_SEED
80,34500,26796,10153,7704,24347,28655,12745,36205,False,5*sqrt(26085121),5*sqrt(26085121)/34500,26085121,True,34500:7704:10153,,2233/2875,10153/34500,-7097/34500,0,-1,True,923/2436,24347/26796,7704/10153,7704/24347,34500/10153,True,True,True,False,True,THREE_DISTANCE_SEED
81,14739,5040,10780,9699,3959,11900,14501,6409,False,17*sqrt(379738),17*sqrt(379738)/14739,379738,True,14739:3959:5040,54,1680/4913,10780/14739,6821/29478,1,-1,True,77/36,3959/5040,9699/10780,9699/3959,14739/10780,True,True,True,False,True,THREE_DISTANCE_SEED
82,21320,7992,11025,13328,10295,13617,17297,13033,False,1*sqrt(283622609),1*sqrt(283622609)/21320,283622609,True,21320:7992:10295,70,999/2665,2205/4264,73/4264,3,0,False,1225/888,10295/7992,272/225,13328/10295,4264/2205,True,True,True,False,True,THREE_DISTANCE_SEED
